,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,missing,LW_in,a,vp_a,cld,Discharge,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,TotalE,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,$q_{T}$,$q_{melt}$,s_cone,input,vp_ice,thickness
0,2019-01-30 17:00:00,0.0,-8.3,85.0,0.5,2.871,5.002,0,888.8,0,188.295,0.0,0.0,0,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,1.67602885415807,0,0.0,0.0,0.0,0.0,0.0029832421963353855,,,
1,2019-01-30 17:15:00,0.0,-8.8,84.9,0.4,2.153,3.752,0,889.0,0,188.317,0.35,2.666,0,3.58,0.0,0.0,0.0004747956292143973,13.487483926934145,0.01470827036743091,2.8688330792332746,0.028385726581756934,0.0,0.0,0.0,0.0,-120.64086706379364,2.4394644527433043,-111.55753883563892,-11.522792680898018,-8.984791259134154,0.0,0.0,-0.028385726581756934,8.825001490279341,0.004999999999999999,1.6760288541580697,0,0.0,0.0,0.0,-120.64086706379364,0.0029832421963353855,13.487483926934145,6.138386178795051,
2,2019-01-30 17:30:00,0.0,-9.3,84.3,0.6,1.436,2.501,0,889.0,0,188.339,0.35,2.545,0,3.58,0.0,0.0,0.0004747956292143973,16.35631700616742,0.017836768818066978,3.2864196545412683,0.05010759221602815,0.028385726581756934,0.0,0.0,50.83116692076673,-121.52784678878713,1.6260931742403086,-111.53553883563893,-18.26624521574174,-13.946817721668872,6.647844088353243,0.0,-0.0784933187977851,10.035780948986037,0.0053319761401153815,1.7873091721031502,0,0.0,0.0,0.0,-121.52784678878713,0.0029832421963353855,31.387483926934145,6.138386178795051,0.00035450401386130995
3,2019-01-30 17:45:00,0.0,-9.7,86.9,0.5,0.718,1.25,0,889.0,0,188.361,0.35,2.542,0,3.58,0.0,0.0,0.00057019359287081,19.64273666070869,0.021420650665985485,3.217035236742496,0.041791270068990735,0.0784933187977851,0.0,0.0,101.24474726622546,-118.96186036004914,0.8127661093497928,-111.51353883563894,-15.876575142714595,-11.632051217774357,7.615487508954601,0.0,-0.12028458886677583,10.035800697616216,0.006403312136954579,1.7873091721031502,0,0.0,0.0,0.0,-118.96186036004914,0.0029832421963353855,49.287483926934144,6.138386178795051,0.000357110409856106
4,2019-01-30 18:00:00,0.0,-10.0,85.6,0.4,0.0,0.0,0,888.9,0,188.383,0.35,2.445,0,3.58,0.0,0.0,0.0006635768758591699,22.859771897451186,0.024928867936151785,3.1674896044577885,0.03433481495626408,0.12028458886677583,0.0,0.0,151.72771202948297,-117.12945968089093,0.0,-111.49153883563892,-13.092609691750491,-9.556623121590118,7.454688846498492,0.0,-0.1546194038230399,10.03582352164644,0.007452029590752616,1.7873091721031502,0,0.0,0.0,0.0,-117.12945968089093,0.0035826549971875975,67.18748392693414,6.13838419628022,0.0003495702411666663
5,2019-01-30 18:15:00,0.0,-10.1,88.0,0.4,0.0,0.0,0,889.0,0,188.807,0.35,2.494,0,3.58,0.0,0.0,0.000755521291680047,26.027261501908974,0.028383055072965076,3.162717760139665,0.03387940184668115,0.1546194038230399,0.0,0.0,202.26022242502518,-116.95270214262717,0.0,-111.06753883563894,-13.22502341784886,-9.429840863929936,7.3398601108606325,0.0,-0.18849880566972105,10.035849369815251,0.008484595723376738,1.7873091721031502,0,0.0,0.0,0.0,-116.95270214262717,0.004169412716650312,85.08748392693414,6.138386178795051,0.00034418571922502383
6,2019-01-30 18:30:00,0.0,-10.4,88.8,0.5,0.0,0.0,0,889.0,0,189.232,0.35,2.457,0,3.58,0.0,0.0,0.0008473264379193342,29.189979262048638,0.03183203845370626,3.254222504176875,0.04277933164465852,0.18849880566972105,0.0,0.0,252.7975046648855,-120.33606493061959,0.0,-110.64253883563893,-17.022307369508432,-11.906972848643845,7.328781274527783,0.0,-0.23127813731437957,10.035878520908557,0.009515606288201642,1.7873091721031502,0,0.0,0.0,0.0,-120.33606493061959,0.004747133767233345,102.98748392693415,6.138386178795051,0.00034366631598862623
7,2019-01-30 18:45:00,0.0,-10.7,87.4,0.5,0.0,0.0,0,888.9,0,189.656,0.35,2.362,0,3.58,0.0,0.0,0.0009417868357011407,32.44420176622551,0.03538080890537133,3.250259264921637,0.04388339691793961,0.23127813731437957,0.0,0.0,303.24328216070865,-120.18910957754265,0.0,-110.21853883563892,-17.51136546271628,-12.21423178860138,7.540794720812551,0.0,-0.2751615342323192,10.03591200104566,0.010576446374656006,1.7873091721031502,0,0.0,0.0,0.0,-120.18910957754265,0.005323984477181697,120.88748392693415,6.13838419628022,0.0003536083507060827
8,2019-01-30 19:00:00,0.0,-11.0,88.3,0.4,0.0,0.0,0,888.7,0,190.08,0.35,2.329,0,3.58,0.0,0.0,0.0010361311990196638,35.69446103114715,0.038925257394926006,3.1548764982257174,0.03541359179357005,0.2751615342323192,0.0,0.0,353.693022895787,-116.66158589101802,0.0,-109.79453883563892,-14.398630280531588,-9.856762595451919,7.5315832251524935,0.0,-0.31057512602588927,10.035948969257241,0.011635994489504626,1.7873091721031502,0,0.0,0.0,0.0,-116.66158589101802,0.005917524813130435,138.78748392693416,6.138380231211918,0.0003531765213949039
9,2019-01-30 19:15:00,0.0,-10.9,88.0,0.4,0.0,0.0,0,888.6,0,187.971,0.35,2.34,0,3.58,0.0,0.0,0.00112770586978825,38.84933752937287,0.0423656897812136,3.214317359955538,0.035311450885005126,0.31057512602588927,0.0,0.0,404.2381463975613,-118.85913575330379,0.0,-111.90353883563893,-14.266128180422482,-9.828294990874033,7.310531262757624,0.0,-0.3458865769108944,10.035988225530037,0.012664448890774019,1.7873091721031502,0,0.0,0.0,0.0,-118.85913575330379,0.006510342290591167,156.68748392693416,6.138378248658438,0.00034281086889008096
