,When,sea,T_a,RH,v_a,p_a,SW_global,SW_diffuse,SW_direct,Prec,missing_type,cld,DroneV,dia,h_f,a,vp_a,LW_in,e_a,Discharge,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,TotalE,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,thickness,fountain_in,wind_loss,$q_{T}$,$q_{melt}$,s_cone,input,vp_ice
0,2021-01-18 00:00:00,0.0,-6.861,32.1,1.102,621.968,-1.595,0,0.0,0,-,0,,,5,0.35,0.0,0.0,,36.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,9.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016216216216216215,,
1,2021-01-18 00:15:00,0.0,-6.497,31.81,1.243,621.911,-1.21,0,0.0,0,-,0,,,5,0.35,1.195,164.17,0.573,36.148,0.0,0.0,0.0002580887575635861,1232.459560723431,1.3440126071138834,108.31606268561428,3.372724517793173,0.0,0.0,-1.2388762298987135,0.0,-154.19831332002627,0.0,-135.70453883563894,-18.49377448438733,-39.70493012345835,0.0,0.0,0.0,268.8028748517178,0.014999999999999996,9.249999999999998,0,0.0,0.0,0.0,430.53121279659257,0.0,-39.70493012345835,-154.19831332002627,0.0016216216216216215,1232.459560723431,6.133025472914768
2,2021-01-18 00:30:00,0.0,-6.417,32.86,0.719,621.855,-2.178,0,0.0,0,-,0,,,5,0.35,1.242,165.269,0.576,36.148,-1.2388762298987135,0.0,0.00025808875756358615,1340.7756234090452,1.46213263185283,126.7240401082187,1.794202282461757,3.372724517793173,0.0,0.6158167562495592,430.53121279659257,-167.7435671173368,0.0,-129.20209596937787,-8.52518420385807,-19.968526529902803,-30.84568489998518,0.8293979558843083,0.0,284.33011501591676,0.0154271511572716,9.513409880317488,0,0.0,0.0,0.00043942991608295306,413.70175760931954,0.0,19.736403593555558,-167.7435671173368,0.0016216216216216215,1662.9907735200236,5.535358437865135
3,2021-01-18 00:45:00,0.0,-6.493,33.35,0.339,621.799,-2.363,0,0.0,0,-,0,,,5,0.35,1.253,165.299,0.577,36.148,-0.6230594736491543,-0.9225893988310437,0.00028248206462489124,1467.499663517264,1.6003267868236248,88.46459908921116,0.9009395859639472,5.16692680025493,0.0,-0.6123925291355393,844.232970405912,-116.64095348674628,0.0,-131.8488118719732,-4.556136660070372,-10.026980523501118,19.96452315430163,-0.20052810900435933,0.0,284.33018902366604,0.01688525562149128,9.513409880317488,0,0.0,0.0,0.0004860341823554588,452.8544613248249,0.0,-19.626660025144268,-116.64095348674628,0.0016216216216216215,2076.692531129343,5.825466072119418
4,2021-01-18 01:00:00,0.0,-6.622,33.76,0.457,621.743,-1.741,0,0.0,0,-,0,,,5,0.35,1.256,165.045,0.577,36.148,-1.2354520027846936,-0.7047854600644115,0.00029951074083769724,1555.9642626064751,1.696798541555589,109.567738537423,1.1371038712467199,6.067866386218877,0.0,0.13579299728990746,1297.087431730737,-144.49323575389454,0.0,-129.4409295656579,-5.635740168891031,-12.655361488529891,-9.771834556400634,0.3552685370550526,0.0,284.33024464644905,0.01790314162597179,9.513409880317488,0,0.0,0.0,0.00033929480039818926,431.5151575913303,0.0,4.352050139093837,-144.49323575389454,0.0017748899536459135,2529.546992454168,5.53693243319551
5,2021-01-18 01:15:00,0.0,-6.794,33.34,0.81,621.71,-2.594,0,0.0,0,-,0,,,5,0.35,1.224,164.029,0.575,36.148,-1.0996590054947861,-1.0844168399946963,0.0003206015759848976,1665.532001143898,1.8162835345080677,99.93220789458626,2.0600821708451145,7.204970257465597,0.0,-0.7001469570244454,1728.6025893220674,-133.12147769010537,0.0,-131.04563058089673,-10.55916717790151,-22.927613296157208,8.473115804050517,0.010204264642367372,0.0,284.3303180502655,0.019163843293622525,9.513409880317488,0,0.0,0.0,0.0004202331450917315,440.2277099345687,0.0,-22.439114847720003,-133.12147769010537,0.0018818848185036168,2961.062150045498,5.599763565267299
6,2021-01-18 01:30:00,0.0,-6.562,33.01,2.292,621.676,-3.67,0,0.0,0,-,0,,,5,0.35,1.234,164.768,0.575,36.148,-1.7998059625192315,-1.0951066276996084,0.0003398376407260832,1765.4642090384843,1.9252608604563624,121.94732309752531,5.39346958742547,9.26505242831071,0.0,-1.1682495031088083,2168.830299256636,-166.206585130345,0.0,-127.28072836288723,-24.98613749376346,-60.026418249093986,-14.411498595717644,0.4717793220233244,0.0,284.3303893526282,0.020313677203005392,9.513409880317488,0,0.0,0.0,0.0003832771921601027,414.87920731504926,0.0,-37.44140356255966,-166.206585130345,0.0020144031987175326,3401.289859980067,5.282627635047416
7,2021-01-18 01:45:00,0.0,-6.339,34.71,1.223,621.643,-3.336,0,0.0,0,-,0,,,5,0.35,1.32,166.898,0.581,36.148,-2.96805546562804,-1.5806326906765191,0.0003633113998566703,1887.4115321360096,2.058245945622693,122.53516258791251,2.466413316728975,14.65852201573618,0.0,0.5309306087345302,2583.7095065716853,-163.15336083549786,0.0,-120.15366205574244,-9.43696697039899,-27.44984590891326,-34.49157811839104,0.9288463090346044,0.0,284.330481989791,0.021716820095674324,9.513409880317488,0,0.0,0.0,0.00046771323131908316,417.21842409535856,0.0,17.015874718924266,-163.15336083549786,0.002135267738756093,3816.1690672951163,4.7897123534050605
8,2021-01-18 02:00:00,0.004,-6.781,35.36,1.156,621.609,-3.727,0,0.0,0,-,0,,,5,0.35,1.299,165.469,0.58,36.148,-2.4371248568935098,-2.516439848959753,0.0023868839508601556,2009.946694723922,2.191872077125324,91.61398333860767,2.492258260995568,17.124935332465157,0.0,-0.9447818287318007,3000.9279306670437,-122.82840531053206,0.0,-123.84564575858667,-11.493856885638936,-27.737476468319958,12.564196820715015,-0.05309948702147621,0.0,284.33058130345063,0.02312672675143388,9.513409880317488,0,0.0,0.0,0.0004699676607569243,448.1137584003968,0.0,-30.27945454629979,-122.82840531053206,0.00228275879720107,4233.387491390475,5.008275843633328
9,2021-01-18 02:15:00,0.052,-7.579,37.98,0.745,621.457,-3.895,0,0.0,0,-,0,,,5,0.35,1.312,163.792,0.581,36.148,-3.3819066856253106,-2.464049569942655,0.026392186615523852,2101.56067806253,2.29177827487735,113.46568239960312,1.4347567004633173,19.617193593460726,0.0,0.41962062860826477,3449.0416890674405,-149.96915800854197,0.0,-121.50493326912911,-7.155324029896374,-15.968055909720212,-21.923384059159314,0.6144833496428458,0.0,284.3306596357063,0.024180850009948168,9.513409880317488,0,0.0,0.0,0.0003513733812734035,427.3195608999336,0.0,13.448484469360567,-149.96915800854197,0.0024309608271248038,4681.501249790872,4.6254146669229135
10,2021-01-18 02:30:00,0.1,-7.677,35.89,0.959,621.305,-3.626,0,0.0,0,-,0,,,5,0.35,1.23,162.065,0.575,36.148,-2.962286057017046,-3.061087866448422,0.05034077327859408,2215.026360462133,2.4155140244952378,92.23275203708968,1.9854688729127674,21.051950293924044,0.0,-0.7882794621551802,3876.361249967374,-122.9744838915588,0.0,-125.01118140519168,-10.344086111767005,-22.097172713793103,12.446929069797301,-0.06614544439742293,0.0,284.33076149078454,0.025486401962847613,9.513409880317488,0,0.0,0.0,0.0004351825785387411,448.00177908999757,0.0,-25.26368672453069,-122.9744838915588,0.0025417647630190396,5108.820810690806,4.792034500284148
11,2021-01-18 02:45:00,0.146,-7.203,39.22,1.015,621.153,-3.532,0,0.0,0,-,0,,,5,0.35,1.395,166.136,0.586,36.148,-3.750565519172226,-2.9980106335424006,0.07318005134571232,2307.2591124992227,2.5160949972728712,106.73594582144952,1.8219919180992263,23.037419166836813,0.0,0.11984674052730387,4324.363029057372,-141.69077025972146,0.0,-117.60460641762731,-8.014997632543032,-20.277758248612482,-16.574983676355835,0.5038174668046997,0.0,284.3308482310311,0.026547644860230778,9.513409880317488,0,0.0,0.0,0.0003537463630395587,433.6620622604513,0.0,3.8409861641706406,-141.69077025972146,0.0026789975711628924,5556.822589780803,4.4834026566175185
12,2021-01-18 03:00:00,0.192,-7.445,37.94,0.679,621.002,-3.414,0,0.0,0,-,0,,,5,0.35,1.324,164.33,0.581,36.148,-3.630718778644922,-3.4713318566839066,0.09586699065271893,2413.9950583206723,2.632491884755368,92.2907733964049,1.2649143172904644,24.85941108493604,0.0,-0.27986930551224865,4758.025091317823,-122.10965724463689,0.0,-119.91585002229309,-5.922278227113447,-14.077788722724765,3.6217652789846273,0.10670572578502531,0.0,284.3309530272104,0.02777576352628703,9.513409880317488,0,0.0,0.0,0.00040937129476685996,448.66431228630466,0.0,-8.969573352757884,-122.10965724463689,0.0027905498863405234,5990.484652041255,4.529122901409486
13,2021-01-18 03:15:00,0.236,-7.089,35.04,0.634,620.92,-3.241,0,0.0,0,-,0,,,5,0.35,1.257,163.96,0.577,36.148,-3.9105880841571707,-3.5698869636048793,0.11737622053805255,2506.285831717077,2.7331361305529738,96.02624369294787,1.1666692166330552,26.124325402226503,0.0,-0.06443821702935142,5206.689403604128,-126.85695151530462,0.0,-119.10704212235115,-4.607320355008647,-12.984371401054707,-3.370680275902184,0.2280912379573756,0.0,284.33104746056,0.028837674025515625,9.513409880317488,0,0.0,0.0,0.0003539686577422142,445.0270870904191,0.0,-2.0651900833062378,-126.85695151530462,0.0029196433114642675,6439.148964327559,4.423005682788565
14,2021-01-18 03:30:00,0.278,-7.562,37.47,0.788,620.839,-3.103,0,0.0,0,-,0,,,5,0.35,1.296,163.547,0.58,36.148,-3.975026301186522,-3.7775259248368607,0.13769750394964886,2602.312075410025,2.8378539535550984,93.62452840179117,1.4211512544141165,27.290994618859557,0.0,-0.29601060605024654,5651.716490694546,-124.0543213378043,0.0,-119.2491488218021,-6.4616990049562535,-15.81660750158201,1.5243047185483114,0.13222177040573543,0.0,284.3311494766618,0.029942565366506364,9.513409880317488,0,0.0,0.0,0.00036829542161289914,447.17432034379476,0.0,-9.486888314895257,-124.0543213378043,0.0030312658014639473,6884.176051417978,4.398895421022676
15,2021-01-18 03:45:00,0.319,-8.1,36.64,0.631,620.757,-2.909,0,0.0,0,-,0,,,5,0.35,1.215,160.79,0.575,36.148,-4.271036907236769,-3.8961172017724164,0.15730051396771416,2695.936603811816,2.9399526759125583,98.77538740122993,1.127654211095389,28.712145873273673,0.0,-0.01667093901600091,6098.890811038341,-130.39413864184772,0.0,-120.76424025861232,-5.522624162727744,-12.550147303547519,-4.358273981281416,0.25099976077376496,0.0,284.33125263370545,0.031019822236682957,9.513409880317488,0,0.0,0.0,0.00035908384482453883,442.31695838767473,0.0,-0.5342894251646655,-130.39413864184772,0.0031474062132501226,7331.350371761772,4.289676882325107
16,2021-01-18 04:00:00,0.358,-7.772,38.7,2.091,620.676,-2.995,0,0.0,0,-,0,,,5,0.35,1.317,163.422,0.581,36.148,-4.287707846252769,-4.118051729449227,0.17570371824121955,2794.711991213046,3.0476684746052847,97.49622099848733,3.605455600551687,29.839800084369063,0.0,-1.08237851255038,6541.207769426015,-131.95855294645253,0.0,-118.06241944406341,-16.651251177396166,-40.126645641358266,2.641536969296326,0.11358070571071649,0.0,284.3313654181311,0.03215634560826871,9.513409880317488,0,0.0,0.0,0.00037883910999925467,441.118323400961,0.0,-34.689311305504006,-131.95855294645253,0.0032606418336773844,7773.667330149447,4.28359897550975
17,2021-01-18 04:15:00,0.396,-7.623,38.28,1.391,620.652,-2.97,0,0.0,0,-,0,,,5,0.35,1.318,163.791,0.581,36.148,-5.3700863588031496,-4.217000731922922,0.19337795689898,2892.2082122115335,3.15398932629393,111.72852942810034,2.091935137591694,33.44525568492075,0.0,0.42663813655807936,6982.3260928269765,-148.55913585436136,0.0,-113.18794858655292,-7.1619808836749135,-23.282024584458075,-28.98116958660149,0.7719632024679549,0.0,284.33148072136385,0.033278150712975296,9.513409880317488,0,0.0,0.0,0.00037393289879325087,428.399535434308,0.0,13.673389634270368,-148.55913585436136,0.003380107239444998,8214.785653550407,3.905459924514568
18,2021-01-18 04:30:00,0.431,-8.03,39.29,0.863,620.628,-3.04,0,0.0,0,-,0,,,5,0.35,1.31,162.694,0.581,36.148,-4.94344822224507,-4.879880318336504,0.20941375213694988,3003.936741639634,3.275830688810942,86.73258445976526,1.3747443978698077,35.53719082251244,0.0,-0.4138269820697687,7410.725628261284,-114.99814537638042,0.0,-116.05434929341718,-6.087360911749297,-15.300100309952564,7.101007640029648,0.0425571887563988,0.0,284.33161771759154,0.034563714741715934,9.513409880317488,0,0.0,0.0,0.00042851872120489243,454.11267114236495,0.0,-13.262803022401327,-114.99814537638042,0.0034980255378069254,8643.185188984715,4.050712628603277
19,2021-01-18 04:45:00,0.464,-7.712,36.16,0.607,620.603,-3.095,0,0.0,0,-,0,,,5,0.35,1.236,162.094,0.576,36.148,-5.357275204314839,-4.9158334395127925,0.22429483892433472,3090.6693260993993,3.3704136598684835,94.79850625115417,0.9433165378725338,36.91193522038225,0.0,0.11386500389228582,7864.838299403649,-124.96267838058476,0.0,-114.93795741318309,-3.2662997855372016,-10.498556746911065,-7.053955867681091,0.2955346858166073,0.0,284.33172764452496,0.03556167194451736,9.513409880317488,0,0.0,0.0,0.0003326502054776209,446.47817721097334,0.0,3.649276589494452,-124.96267838058476,0.0036331573196720555,9097.29786012708,3.9097507996742507
20,2021-01-18 05:00:00,0.494,-8.19,38.55,0.733,620.579,-2.905,0,0.0,0,-,0,,,5,0.35,1.27,161.587,0.578,36.148,-5.243410200422553,-5.162413980849943,0.23761382783030993,3185.4678323505536,3.4737926197934064,87.4582017311034,1.1409746570044277,37.85525175825478,0.0,-0.31521926565812197,8311.316476614622,-115.64001231004366,0.0,-115.916432050509,-4.935532938432515,-12.698369518482505,5.1577276503384155,0.05422502855944809,0.0,284.33185137307606,0.036652436767420124,9.513409880317488,0,0.0,0.0,0.00036358573410480736,453.6208236118922,0.0,-10.102509527967,-115.64001231004366,0.003738057372897569,9543.776037338053,3.948082827032461
21,2021-01-18 05:15:00,0.521,-8.05,39.54,1.911,620.605,-2.611,0,0.0,0,-,0,,,5,0.35,1.317,162.758,0.581,36.148,-5.558629466080675,-5.207052477478361,0.24941832442110423,3272.9260340816572,3.5691668855852314,95.41736461948723,2.8054797743892856,38.99622641525921,0.0,-0.6226550542201316,8764.937300226515,-128.2008107239156,0.0,-113.44169158788387,-10.879967662462787,-31.223308875222983,-4.114523844630209,0.23537237106128056,0.0,284.33196883602324,0.03765874302365885,9.513409880317488,0,0.0,0.0,0.0003354329292734878,443.9971556061235,0.0,-19.955565230959124,-128.2008107239156,0.003852712878822891,9997.396860949946,3.842795916469003
22,2021-01-18 05:30:00,0.545,-7.958,38.74,1.242,620.63,-2.787,0,0.0,0,-,0,,,5,0.35,1.299,162.667,0.58,36.148,-6.181284520300807,-5.398454141485021,0.2597613375015461,3368.3433987011445,3.6732207183218586,100.03557696177677,1.6916125519186687,41.80170618964849,0.0,0.1954005911041209,9208.934455832637,-132.7746330739956,0.0,-110.97090782020607,-5.0429605447040995,-18.8266253808393,-17.28485089326143,0.5240861841759884,0.0,284.3321006174331,0.0387566285171843,9.513409880317488,0,0.0,0.0,0.000365958963962424,440.4928104863046,0.0,6.262422854384635,-132.7746330739956,0.003958490540975417,10441.394016556069,3.642316246837626
23,2021-01-18 05:45:00,0.567,-8.17,41.64,1.238,620.656,-2.601,0,0.0,0,-,0,,,5,0.35,1.374,163.461,0.585,36.148,-5.985883929196686,-5.8190477462858805,0.26911275499902954,3468.378975662921,3.782310769534265,85.82839229900685,1.676711580766743,43.49331874156716,0.0,-0.4154187986717421,9649.427266318942,-114.21186708902611,0.0,-110.97891550564037,-6.179603932887123,-18.660777242986306,2.8349595219740733,0.11169282752731137,0.0,284.3322428430575,0.03990765180545852,9.513409880317488,0,0.0,0.0,0.00038367124561565567,454.7148961202264,0.0,-13.313819391450462,-114.21186708902611,0.0040738945346367106,10881.886827042374,3.7041780261151858
24,2021-01-18 06:00:00,0.584,-8.98,43.04,0.695,620.682,-2.945,0,0.0,0,-,0,,,5,0.35,1.333,160.842,0.582,36.148,-6.401302727868428,-5.907469215002009,0.276250912944841,3554.207367961928,3.875907707701121,94.45744208825317,0.9051803107985943,45.1700303223339,0.0,0.17950067298037994,10104.142162439168,-124.4674638439631,0.0,-111.8949642497208,-4.09607254669652,-10.07410033543365,-8.80703675353076,0.33060970598496475,0.0,284.3323681869808,0.04089520524726094,9.513409880317488,0,0.0,0.0,0.00032918158430072413,446.85737760094827,0.0,5.752843993449144,-124.4674638439631,0.004194884095977446,11336.6017231626,3.5737916935990968
25,2021-01-18 06:15:00,0.598,-9.31,43.86,1.098,620.753,-2.735,0,0.0,0,-,0,,,5,0.35,1.323,159.906,0.582,36.148,-6.221802054888048,-6.1661868671582445,0.28207304881580764,3648.664810050181,3.9789147328791508,86.89441048639775,1.4720594688496056,46.07521063313249,0.0,-0.4555718073378356,10550.999540040117,-115.33601587678625,0.0,-113.56582679295559,-7.750676677763898,-16.38310868297203,5.943254558133529,0.03723303579970409,0.0,284.33250967409987,0.04198204573837878,9.513409880317488,0,0.0,0.0,0.00036227681651176215,453.8535300447527,0.0,-14.600689189141391,-115.33601587678625,0.004298690560139742,11783.459100763548,3.6296090449817404
26,2021-01-18 06:30:00,0.608,-8.83,42.06,1.195,620.824,-2.508,0,0.0,0,-,0,,,5,0.35,1.318,160.936,0.581,36.148,-6.677373862225884,-6.194959416573851,0.28620079295439577,3735.559220536579,4.0736741772481775,93.94460820114818,1.5082459505624577,47.5472701019821,0.0,-0.041338412016138935,11004.85307008487,-124.5851140254372,0.0,-110.67364111530262,-5.880555266177458,-16.78583389833589,-8.353882558011218,0.32296491405406164,0.0,284.3326431096378,0.04298186493399275,9.513409880317488,0,0.0,0.0,0.00033326982017511703,446.7671458482894,0.0,-1.324860967467039,-124.5851140254372,0.004412933560787325,12237.312630808301,3.4894760040151516
