,time,ghi,sea,temp,RH,wind,SW_global,ppt,vp_a,press,LW_in,tcc,Discharge,alb,SW_direct,SW_diffuse,T_F,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,rain2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,rho_air,s_cone,vp_ice,Qr
0,2020-11-22 16:00:00,64.872,0.101,2.083,88.483,1.083,19.834,0.0,6.267,805.101,233.677,0.5,18.0,0.845,9.917,9.917,1.5,0.0,0.0,0.057065703429960986,14273.562166043876,15.565498545304116,0.0,0.0,0.0,0.0,0.0,-48.34580741772868,1.6248526900418134,-72.49086980679894,9.027195348288176,1.4570998178377477,12.035914532902515,0.0,0.0,156.50659489567988,0.2986347767902219,7.055,0.0,0.0,0.0,0.28826005312024044,0.0,995.9876037771314,84.0123962228686,0.0,,-49.80290723556643,14273.562166043876,1.0,917.0,0.04232952186962748,6.112911778902558,0.0
1,2020-11-22 17:00:00,0.0,0.0,1.733,89.617,1.717,0.0,0.0,6.2,805.3,237.41,0.5,18.0,0.839,0.0,0.0,1.5,0.0,0.0,0.006730925146187471,14357.862822319865,15.657429468178696,0.0,0.0,0.0,0.0,995.9876037771314,-43.55349273163873,0.0,-68.75786980679894,11.909987481696236,1.305633006639819,11.988756586824163,0.0,0.0,157.12221583264247,0.299221542433785,7.068861853799586,0.0,0.0,0.0,0.25931117410215615,0.0005873932848379767,1004.0295962553041,75.97040374469584,0.0,,-44.85912573827854,15353.850426096997,1.0,917.0,0.04232952186962748,6.112911778902558,0.0
2,2020-11-22 18:00:00,0.0,0.0,1.717,90.083,2.0,0.0,0.0,6.2,805.414,245.0,0.5,18.0,0.834,0.0,0.0,1.5,0.0,0.0,0.00676659699282834,14434.092537238663,15.740558928286436,0.0,0.0,0.0,0.0,2000.0172000324355,-33.911514572610606,0.0,-61.16786980679893,13.746882267904864,1.5208305260801618,11.9886424402033,0.0,0.0,157.12371182938182,0.3008101892372517,7.068861853799586,0.0,0.0,0.0,0.3020543308834717,0.0005290751512585886,1019.993587752655,60.006412247345004,0.0,,-35.43234509869077,16434.1097372711,1.0,917.0,0.04232952186962748,6.112911778902558,0.0
3,2020-11-22 19:00:00,0.0,0.0,1.45,89.3,1.1,0.0,0.0,6.067,805.399,236.233,0.5,18.0,0.829,0.0,0.0,1.5,0.0,0.0,0.006794817736102165,14494.40100381689,15.806326067412094,0.08759181619800678,0.0,0.0,-0.018347555897989254,3020.0107877850905,-52.00169757255448,0.0,-69.93486980679893,6.385638204391187,-0.4410176783310317,11.988551708184293,0.0,0.0,157.1249009764911,0.30206703314324734,7.068861853799586,0.0,0.0,0.0,0.0,0.0004185691539484079,992.6788017916841,87.32119820831585,-0.4410176783310317,,-51.56067989422345,17514.411791601986,1.0,917.0,0.04255426056679311,6.112911778902558,0.0
4,2020-11-22 20:00:00,0.0,0.0,1.15,90.567,1.467,0.0,0.0,6.017,805.474,243.682,0.5,18.0,0.824,0.0,0.0,1.5,-0.018347555897989254,0.0,0.006835636692312155,14581.634610209008,15.90145540917013,0.22055847359390243,0.08759181619800678,0.0,-0.02785155920465762,4012.689589576775,-44.65712561497508,0.0,-62.40361659582683,6.863158562008675,-1.1104817773439963,11.988419802536109,0.005394393650965842,0.0,157.12662978331053,0.3038850038663089,7.068861853799586,0.0,0.0,0.0,0.0,0.0006054377197174393,1005.5033568209948,74.49664317900526,-0.6694640990129646,,-43.98766151596211,18594.411791601986,1.0,917.0,0.042732060604761035,6.103677090826378,0.0
5,2020-11-22 21:00:00,0.0,0.0,1.45,90.917,1.45,0.0,0.0,6.167,805.517,242.952,0.5,18.0,0.819,0.0,0.0,1.5,-0.046199115102646876,-9.979075072501681e-05,0.006870391409933002,14655.910694914419,15.9824544110299,0.0,0.3081502897919092,0.0,0.046199115102646876,5018.192946397769,-41.33897680121875,0.0,-63.008788034450504,8.688746339712281,0.9792057420554687,11.988306869506442,0.013552281957561085,0.0,157.12810995782857,0.3054329365152367,7.068861853799586,0.0,0.0,0.0,0.19448689994118812,0.0005155014269158257,1006.4493706775743,73.55062932242578,1.1104817773439963,,-43.42866432061822,19674.411791601986,1.0,917.0,0.042989240722389785,6.089683127368132,0.0
6,2020-11-22 22:00:00,0.0,0.0,2.05,88.6,1.017,0.0,0.0,6.267,805.198,233.736,0.5,18.0,0.814,0.0,0.0,1.5,0.0,-0.0003492258559214173,0.006904896706579852,14729.655811136787,16.062874385100095,0.0,0.3081502897919092,0.0,-0.0,6024.642317075344,-50.72752967331779,0.0,-72.43186980679894,8.347358415610898,1.3688901930748132,11.988194179308882,-0.00010265451344385323,0.0,157.1295869774271,0.30696980364484266,7.068861853799586,0.0,0.0,0.0,0.27188740953618856,0.0005118115026762438,991.7688617611017,88.23113823889828,2.220446049250313e-16,,-52.0964198663926,20754.606278501928,1.0,917.0,0.04320821977176755,6.112911778902558,0.0
7,2020-11-22 23:00:00,0.0,0.0,1.883,86.583,0.85,0.0,0.0,6.05,805.072,229.935,0.5,18.0,0.809,0.0,0.0,1.5,0.0,-0.00034734590076744006,0.006946305932143857,14818.15883678522,16.159388044476795,0.09278990499973927,0.3081502897919092,0.0,-0.019435581540836754,7016.411178836446,-58.30409538996976,0.0,-76.23286980679893,6.407988711795175,-0.46717040110463126,11.988058195005943,-0.00010208886731832816,0.0,157.13136934759984,0.3088142293906726,7.068861853799586,0.0,0.0,0.0,0.0,0.0006142297019501846,982.045560477613,97.954439522387,-0.46717040110463126,,-57.83692498886513,21834.878165911465,1.0,917.0,0.043425633432041574,6.112911778902558,0.0
8,2020-11-23 00:00:00,0.0,0.0,0.9,88.7,0.583,0.0,0.0,5.767,805.126,231.513,0.5,18.0,0.804,0.0,0.0,1.5,-0.019435581540836754,-0.0003454874498092932,0.006992092270406162,14916.020486402607,16.26610740065715,0.34008417801614255,0.4009401947916485,0.0,-0.0517968477644889,7998.456739314059,-62.139946216947536,0.0,-74.56773943117977,2.1464804332785943,-1.7122041087530833,11.987906888301547,0.00561000140518371,0.0,157.13335259871073,0.3108536912594759,7.068861853799586,0.0,0.0,0.0,0.0,0.0006791728260464399,976.8651546956622,103.13484530433773,-1.2450337076484521,,-60.89491250929908,22914.878165911465,1.0,917.0,0.04368655602240717,6.103129865209961,0.0
9,2020-11-23 01:00:00,0.0,0.0,0.067,91.267,1.167,0.0,0.0,5.6,804.777,229.877,0.5,18.0,0.799,0.0,0.0,1.5,-0.07123242930532565,-0.000446944550132935,0.007040184780621051,15018.815247528928,16.37820637680363,0.9664637469894813,0.741024372807791,0.0,-0.13119581094302263,8975.321894009721,-68.18302812406148,0.0,-75.97162321669401,0.6457893517661419,-4.865739776966513,11.987746888063944,0.02079862976896256,0.0,157.13544985468266,0.3129959604369271,7.068861853799586,0.0,0.0,0.0,0.0,0.0007134002698507738,969.8611413678534,110.13885863214655,-3.15353566821343,,-65.02949245584804,23994.878165911465,1.0,917.0,0.043975069493314374,6.077130124781329,0.0
10,2020-11-23 02:00:00,0.0,0.0,-0.25,92.6,1.0,0.0,0.0,5.583,805.022,227.068,0.5,18.0,0.794,0.0,0.0,0.0,-0.20242824024834827,-0.000820519109461797,0.007091258949587177,15127.987642414086,16.497260242545348,0.7442666231238237,1.7074881197972722,0.0,0.0465419665957301,9945.183035377575,-82.07160397544506,0.0,-78.19328863927072,-0.19052671553389844,-3.7470169254253554,0.0,0.059228304784911895,0.0,157.13769297040565,0.315271141137076,7.068861853799586,0.0,0.0,0.0,0.0,0.0007576512228896734,939.1005696821318,140.8994303178682,1.1187228515411576,,-83.19032682698621,25074.878165911465,1.0,917.0,0.044278126650429385,6.0117262569143906,-0.0
11,2020-11-23 03:00:00,0.0,0.0,-0.183,93.033,1.617,0.0,0.0,5.617,804.644,225.261,0.5,18.0,0.79,0.0,0.0,0.0,-0.15588627365261817,-0.0018766860868824333,0.007156824580663292,15268.14280610883,16.65010120622555,1.173167816308157,2.451754742921096,0.0,-0.08982860123125223,10884.283605059707,-86.2450663378759,0.0,-80.20854980711866,-0.1755376548954578,-5.9062146617882965,0.0,0.04523578592652627,0.0,157.1405964439376,0.3181920106828978,7.068861853799586,0.0,0.0,0.0,0.0,0.0009726562786497499,937.5811594000781,142.4188405999219,-2.1591977363629407,,-84.08586860151296,26154.878165911465,1.0,917.0,0.04459998620111871,6.034854672808823,-0.0
