,When,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,missing,LW_in
0,2019-01-30 17:00:00,-8.3,85.0,0.5,2.871,5.002,0.0,888.8,0,188.295
1,2019-01-30 17:15:00,-8.8,84.9,0.4,2.153,3.752,0.0,889.0,0,188.317
2,2019-01-30 17:30:00,-9.3,84.3,0.6,1.436,2.501,0.0,889.0,0,188.339
3,2019-01-30 17:45:00,-9.7,86.9,0.5,0.718,1.25,0.0,889.0,0,188.361
4,2019-01-30 18:00:00,-10.0,85.6,0.4,0.0,0.0,0.0,888.9,0,188.383
5,2019-01-30 18:15:00,-10.1,88.0,0.4,0.0,0.0,0.0,889.0,0,188.807
6,2019-01-30 18:30:00,-10.4,88.8,0.5,0.0,0.0,0.0,889.0,0,189.232
7,2019-01-30 18:45:00,-10.7,87.4,0.5,0.0,0.0,0.0,888.9,0,189.656
8,2019-01-30 19:00:00,-11.0,88.3,0.4,0.0,0.0,0.0,888.7,0,190.08
9,2019-01-30 19:15:00,-10.9,88.0,0.4,0.0,0.0,0.0,888.6,0,187.971
10,2019-01-30 19:30:00,-11.0,90.0,0.5,0.0,0.0,0.0,888.6,0,185.862
11,2019-01-30 19:45:00,-11.2,88.9,0.3,0.0,0.0,0.0,888.6,0,183.753
12,2019-01-30 20:00:00,-11.2,87.7,0.4,0.0,0.0,0.0,888.4,0,181.644
13,2019-01-30 20:15:00,-11.1,90.2,0.3,0.0,0.0,0.0,888.3,0,184.875
14,2019-01-30 20:30:00,-11.2,88.0,0.6,0.0,0.0,0.0,888.3,0,188.106
15,2019-01-30 20:45:00,-11.5,87.4,0.6,0.0,0.0,0.0,888.2,0,191.338
16,2019-01-30 21:00:00,-11.6,89.6,0.4,0.0,0.0,0.0,888.0,0,194.569
17,2019-01-30 21:15:00,-11.5,90.1,0.4,0.0,0.0,0.0,888.0,0,196.634
18,2019-01-30 21:30:00,-11.6,90.2,0.5,0.0,0.0,0.0,888.1,0,198.7
19,2019-01-30 21:45:00,-11.3,89.4,0.4,0.0,0.0,0.0,888.0,0,200.765
20,2019-01-30 22:00:00,-11.1,89.8,0.4,0.0,0.0,0.0,887.8,0,202.831
21,2019-01-30 22:15:00,-10.9,88.4,0.4,0.0,0.0,0.0,887.5,0,204.417
22,2019-01-30 22:30:00,-10.9,88.7,0.4,0.0,0.0,0.0,887.3,0,206.003
23,2019-01-30 22:45:00,-10.6,88.4,0.4,0.0,0.0,0.0,887.2,0,207.589
24,2019-01-30 23:00:00,-10.9,88.1,0.4,0.0,0.0,0.0,887.1,0,209.175
25,2019-01-30 23:15:00,-10.5,86.7,0.5,0.0,0.0,0.0,887.1,0,214.751
26,2019-01-30 23:30:00,-10.0,90.3,0.4,0.0,0.0,0.0,886.9,0,220.328
27,2019-01-30 23:45:00,-9.8,88.5,0.3,0.0,0.0,0.0,886.7,0,225.904
28,2019-01-31 00:00:00,-9.4,88.1,0.5,0.0,0.0,0.0,886.6,0,231.48
