time,temp,RH,wind,SW_direct,SW_diffuse,ppt,vp_a,press,LW_in,SW_global
2020-11-22 15:00:00,2.517,87.467,1.083,63.099,65.906,0.0,6.4,805.094,230.579,129.005
2020-11-22 16:00:00,2.083,88.483,1.083,5.239,14.596,0.0,6.267,805.101,233.677,19.835
2020-11-22 17:00:00,1.733,89.617,1.717,0.0,0.0,0.0,6.2,805.3,237.41,0.0
2020-11-22 18:00:00,1.717,90.083,2.0,0.0,0.0,0.0,6.2,805.414,245.0,0.0
2020-11-22 19:00:00,1.45,89.3,1.1,0.0,0.0,0.0,6.067,805.399,236.233,0.0
2020-11-22 20:00:00,1.15,90.567,1.467,0.0,0.0,0.0,6.017,805.474,243.682,0.0
2020-11-22 21:00:00,1.45,90.917,1.45,0.0,0.0,0.0,6.167,805.517,242.952,0.0
2020-11-22 22:00:00,2.05,88.6,1.017,0.0,0.0,0.0,6.267,805.198,233.736,0.0
2020-11-22 23:00:00,1.883,86.583,0.85,0.0,0.0,0.0,6.05,805.072,229.935,0.0
2020-11-23 00:00:00,0.9,88.7,0.583,0.0,0.0,0.0,5.767,805.126,231.513,0.0
2020-11-23 01:00:00,0.067,91.267,1.167,0.0,0.0,0.0,5.6,804.777,229.877,0.0
2020-11-23 02:00:00,-0.25,92.6,1.0,0.0,0.0,0.0,5.583,805.022,227.068,0.0
2020-11-23 03:00:00,-0.183,93.033,1.617,0.0,0.0,0.0,5.617,804.644,225.261,0.0
2020-11-23 04:00:00,0.183,93.0,1.517,0.0,0.0,0.0,5.767,804.584,224.263,0.0
2020-11-23 05:00:00,0.5,92.183,1.35,0.0,0.0,0.0,5.8,804.533,224.314,0.0
2020-11-23 06:00:00,0.133,90.933,0.667,0.0,0.0,0.0,5.617,804.679,220.106,0.0
2020-11-23 07:00:00,-0.367,91.7,1.167,0.478,1.468,0.0,5.45,805.061,217.379,1.946
2020-11-23 08:00:00,0.117,93.083,1.167,44.816,33.452,0.0,5.75,805.085,219.285,78.268
2020-11-23 09:00:00,1.467,92.367,0.933,144.734,63.352,0.0,6.25,805.278,221.099,208.086
2020-11-23 10:00:00,2.967,85.583,0.583,231.728,82.936,0.0,6.467,805.135,222.923,314.664
2020-11-23 11:00:00,3.783,80.433,0.25,278.844,96.242,0.0,6.45,804.989,223.788,375.086
2020-11-23 12:00:00,4.15,80.117,0.0,304.77,85.846,0.0,6.617,804.837,226.011,390.616
2020-11-23 13:00:00,3.967,79.583,0.167,263.342,83.647,0.0,6.467,804.533,223.848,346.989
2020-11-23 14:00:00,3.3,84.217,1.417,184.884,71.991,0.0,6.517,804.506,223.249,256.875
2020-11-23 15:00:00,2.717,84.483,1.183,87.946,47.681,0.0,6.267,804.252,220.542,135.627
2020-11-23 16:00:00,1.717,85.2,1.533,10.148,10.54,0.0,5.9,804.37,220.963,20.688
2020-11-23 17:00:00,1.133,85.3,1.7,0.0,0.0,0.0,5.65,804.41,217.192,0.0
2020-11-23 18:00:00,0.9,86.483,1.8,0.0,0.0,0.0,5.617,804.583,216.734,0.0
2020-11-23 19:00:00,0.867,86.233,2.0,0.0,0.0,0.0,5.6,804.511,225.249,0.0
2020-11-23 20:00:00,0.767,86.233,1.8,0.0,0.0,0.0,5.567,804.513,228.499,0.0
2020-11-23 21:00:00,0.7,85.6,1.9,0.0,0.0,0.0,5.5,804.501,223.683,0.0
2020-11-23 22:00:00,0.467,86.1,1.517,0.0,0.0,0.0,5.433,804.277,240.543,0.0
2020-11-23 23:00:00,0.2,87.35,2.0,0.0,0.0,0.0,5.4,804.182,218.154,0.0
2020-11-24 00:00:00,0.133,87.35,1.9,0.0,0.0,0.0,5.4,804.112,216.509,0.0
2020-11-24 01:00:00,0.0,88.2,1.8,0.0,0.0,0.0,5.4,803.81,216.472,0.0
2020-11-24 02:00:00,0.183,86.617,1.817,0.0,0.0,0.0,5.367,803.668,214.461,0.0
2020-11-24 03:00:00,0.183,85.0,1.5,0.0,0.0,0.0,5.25,803.136,212.38,0.0
2020-11-24 04:00:00,-0.183,86.567,1.517,0.0,0.0,0.0,5.2,803.139,212.33,0.0
2020-11-24 05:00:00,-0.733,87.25,0.75,0.0,0.0,0.0,5.05,803.115,211.023,0.0
2020-11-24 06:00:00,-1.45,88.933,0.583,0.0,0.0,0.0,4.9,802.979,209.532,0.0
2020-11-24 07:00:00,-1.533,90.8,1.167,0.377,1.211,0.0,4.967,803.168,206.079,1.588
2020-11-24 08:00:00,-0.917,90.983,1.25,47.592,30.259,0.0,5.2,803.4,207.118,77.851
2020-11-24 09:00:00,0.85,87.667,1.083,153.869,55.999,0.0,5.7,803.341,205.193,209.868
2020-11-24 10:00:00,2.85,76.0,0.25,248.632,70.153,0.0,5.717,803.284,207.598,318.785
2020-11-24 11:00:00,2.767,74.917,0.25,307.321,78.072,0.0,5.583,802.552,210.983,385.39300000000003
2020-11-24 12:00:00,1.75,78.983,0.083,316.678,79.283,0.0,5.45,802.285,213.316,395.961
2020-11-24 13:00:00,1.083,83.7,0.75,279.974,75.676,0.0,5.55,801.788,214.037,355.65
2020-11-24 14:00:00,1.367,84.417,1.467,198.721,65.788,0.0,5.717,801.638,214.215,264.509
2020-11-24 15:00:00,1.683,82.6,2.1,91.931,46.078,0.0,5.7,801.304,212.83,138.00900000000001
2020-11-24 16:00:00,1.883,80.367,1.55,10.382,10.314,0.0,5.617,801.233,210.986,20.695999999999998
2020-11-24 17:00:00,1.533,79.533,0.583,0.0,0.0,0.0,5.433,801.395,209.782,0.0
2020-11-24 18:00:00,0.317,84.6,0.917,0.0,0.0,0.0,5.3,801.41,208.897,0.0
2020-11-24 19:00:00,-0.5,87.483,0.417,0.0,0.0,0.0,5.167,801.471,208.635,0.0
2020-11-24 20:00:00,-0.7,88.683,1.0,0.0,0.0,0.0,5.167,801.392,208.177,0.0
2020-11-24 21:00:00,-0.483,88.1,0.833,0.0,0.0,0.0,5.2,801.235,208.248,0.0
