,time,temp,RH,wind,SW_direct,SW_diffuse,LW_in,press
0,2020-01-01 00:00:00,-5.981,64.981,0.32,0.0,0.0,204.853,808.149
1,2020-01-01 01:00:00,-5.614,62.837,0.216,0.0,0.0,203.434,807.646
2,2020-01-01 02:00:00,-5.626,61.591,0.368,0.0,0.0,201.954,807.714
3,2020-01-01 03:00:00,-5.973,62.107,0.347,0.0,0.0,200.277,807.466
4,2020-01-01 04:00:00,-6.694,63.249,0.31,0.0,0.0,199.246,807.276
5,2020-01-01 05:00:00,-6.882,63.11,0.424,0.0,0.0,197.971,807.324
6,2020-01-01 06:00:00,-7.145,63.399,0.394,0.0,0.0,196.76,807.494
7,2020-01-01 07:00:00,-7.294,62.858,0.376,0.0,0.0,191.188,807.646
8,2020-01-01 08:00:00,-6.968,60.218,0.443,12.348,12.346,188.731,807.984
9,2020-01-01 09:00:00,-6.873,59.068,0.51,92.923,49.783,189.745,808.144
10,2020-01-01 10:00:00,-5.153,53.563,0.838,192.95,68.998,190.795,808.252
11,2020-01-01 11:00:00,-4.492,49.655,0.656,261.559,79.221,191.648,807.971
12,2020-01-01 12:00:00,-3.384,48.468,0.42,284.444,82.946,193.816,807.449
13,2020-01-01 13:00:00,-2.241,46.142,0.262,257.397,81.19,196.328,807.188
14,2020-01-01 14:00:00,-2.165,43.109,0.206,189.102,70.631,197.064,807.079
15,2020-01-01 15:00:00,-3.451,46.452,0.253,91.831,49.97,197.374,807.168
16,2020-01-01 16:00:00,-5.192,50.494,0.324,12.544,12.615,197.059,807.234
17,2020-01-01 17:00:00,-5.958,50.72,0.235,0.0,0.0,196.775,807.289
18,2020-01-01 18:00:00,-6.678,50.534,0.204,0.0,0.0,196.626,807.571
19,2020-01-01 19:00:00,-6.594,50.037,0.301,0.0,0.0,195.638,807.672
20,2020-01-01 20:00:00,-6.67,50.023,0.55,0.0,0.0,196.15,807.609
21,2020-01-01 21:00:00,-6.839,49.757,0.904,0.0,0.0,196.367,807.495
22,2020-01-01 22:00:00,-5.159,44.867,1.157,0.0,0.0,195.861,807.198
23,2020-01-01 23:00:00,-5.342,46.473,1.096,0.0,0.0,195.395,806.802
24,2020-01-02 00:00:00,-5.895,48.213,1.664,0.0,0.0,194.233,806.411
25,2020-01-02 01:00:00,-6.619,51.443,1.856,0.0,0.0,195.262,806.379
26,2020-01-02 02:00:00,-7.274,55.335,1.984,0.0,0.0,196.901,806.261
27,2020-01-02 03:00:00,-8.37,61.856,2.013,0.0,0.0,197.107,806.123
28,2020-01-02 04:00:00,-8.74,64.152,2.029,0.0,0.0,198.841,805.984
29,2020-01-02 05:00:00,-9.283,65.829,2.092,0.0,0.0,199.111,805.804
30,2020-01-02 06:00:00,-9.544,69.217,2.087,0.0,0.0,201.081,805.951
31,2020-01-02 07:00:00,-9.718,71.397,2.063,0.0,0.0,194.455,806.212
32,2020-01-02 08:00:00,-9.506,71.849,2.125,11.47,12.258,196.663,806.376
33,2020-01-02 09:00:00,-9.722,72.282,2.23,87.083,48.992,198.419,806.474
34,2020-01-02 10:00:00,-7.866,66.504,1.328,181.184,69.521,200.147,806.105
35,2020-01-02 11:00:00,-7.443,67.6,1.515,251.516,79.028,201.582,806.229
36,2020-01-02 12:00:00,-6.72,67.938,1.79,262.43,85.412,204.555,805.414
37,2020-01-02 13:00:00,-6.131,66.928,1.971,246.313,81.12,205.499,804.925
38,2020-01-02 14:00:00,-6.07,67.643,1.914,179.754,71.361,208.32,804.631
39,2020-01-02 15:00:00,-6.747,72.395,1.985,86.407,49.902,205.346,804.556
40,2020-01-02 16:00:00,-8.266,80.129,1.962,12.247,12.734,204.435,804.524
41,2020-01-02 17:00:00,-9.235,83.954,1.721,0.0,0.0,201.86,804.659
42,2020-01-02 18:00:00,-8.981,83.553,1.501,0.0,0.0,203.282,805.05
43,2020-01-02 19:00:00,-9.153,81.797,1.31,0.0,0.0,204.894,805.154
44,2020-01-02 20:00:00,-9.249,80.97,1.141,0.0,0.0,201.956,805.172
45,2020-01-02 21:00:00,-9.336,80.339,1.054,0.0,0.0,205.235,805.226
46,2020-01-02 22:00:00,-9.248,84.936,1.142,0.0,0.0,209.277,804.984
47,2020-01-02 23:00:00,-9.214,84.295,1.132,0.0,0.0,228.008,804.684
48,2020-01-03 00:00:00,-9.423,83.385,0.847,0.0,0.0,235.691,804.713
49,2020-01-03 01:00:00,-9.759,84.429,0.727,0.0,0.0,233.111,804.644
50,2020-01-03 02:00:00,-9.931,86.14,0.353,0.0,0.0,236.538,804.435
51,2020-01-03 03:00:00,-10.252,90.133,0.306,0.0,0.0,228.583,804.266
52,2020-01-03 04:00:00,-10.779,91.49,0.261,0.0,0.0,217.911,804.166
